Client Name,Average Claim Fee
BROOKHOUSE AEROSPACE LIMITED,82017.5225
FUNBIKES LIMITED,50779.33
J.S. BAILEY LIMITED,50050.93
DODD GROUP ( EASTERN)LTD,49212.2
PARADIGM PRECISION BURNLEY LTD,39215.69167
STUDLEY ENGINEERING LIMITED,37610.18333
DODD GROUP (EASTERN) LIMITED,34733.14
DODD GROUP (MIDLANDS) LIMITED,34588.185
CSH ENVIRONMENTAL LIMITED,33128.57
FENIX RAIL SYSTEMS LIMITED,31924.41667
DODD GROUP (SOUTH) LIMITED,29924.595
CAXTON BUILDERS (MIDLANDS) LIMITED,28299.14
AESTHETICS TECHNOLOGY,27607.04
SVM BUILDING DESIGN LTD,27441.715
DUNTON ENVIR/TECH ADDITIONAL BENEFIT 2024,26583
MONPET EXTRUSION LIMITED,26351.83333
GATEWAY LTD,26344.47
AESTHETIC TECHNOLOGY,26066.6
JHAIDEV ENGINEERING LIMITED,25325.61
FREEDOM RECYCLING LIMITED,23977
CONDITIONED ENVIRONMENTAL MECHANICAL SERVICES LTD,23719.86
DUNTON ENVIRONMENTAL LIMITED,23223.15
TSL LIMITED,22237.39
BROOKBANKS CONSULTING LIMITED,21965.97
ZUND UK LIMITED,21714.07667
ALBURY SERVICES LIMITED,21584.68
SLOANE CURTIS LIMITED,20442.22
WHEATLEY PLASTICS LIMITED,20087.37667
PLAS SOLUTIONS LTD,19916.14
COMPLETE VENTILATION SOLUTIONS LTD-,19600.39
HEN HOUSE WHOLESALE LTD,19270.04333
ESP SALES & SERVICE LIMITED,18577.595
BM3 ARCHITECTURE LTD,18480.26
CONCEPT PLASTIC PACKAGING LTD,18036.765
CRC (LONDON) LIMITED,17959.52
ATRITOR LIMITED,17792.41286
O1CONSTRUCTIVE.COM LTD,17357.18667
LANSGROVE LIMITED,15870.86333
CTR ( MIDLANDS) LTD,15859.12
LIDDIARD SCAFFOLDING LIMITED,15588.865
BENCHMARK FABRICATIONS LIMITED,15309.54
PRIOR + PARTNERS LIMITED,15114.68667
MIDATT LIMITED,15103.51
STUDLEY ELECTRICAL LIMITED,15092.76
CAXTON DISTRIBUTION LIMITED,14871.275
CONDITIONED ENVIRONMENT MECHANICAL SERVICES LIMITED,14621.93
SWIFT SCAFFOLDING LIMITED,14081.392
DANAHER & WALSH (CIVIL ENGINEERING) LIMITED (COPY),13864.4
JOHN ABBOT (FLOORING CONTRACTORS) LIMITED,13857.205
PROCURE4 LIMITED,13685.3
ENVISION SUSTAINABILITY LIMITED,13659.93333
WHITE BOX INTERIORS LIMITED,13564.56
ALUFOLD DIRECT LIMITED,13425.35
CREATIVE NUTRITION,13087.66333
DUNTON TECHNOLOGIES LIMITED,12613.655
JOSHUA GREAVES & SONS LIMITED,12426.07333
CAPITAL ALLOWANCES THE FRESH CHICKEN COMPANY LIMITED,12271.04
FALCONER PRINT AND PACKAGING LIMITED,12127.98
STOFIX UK LTD,12095.965
AIRFRAME DESIGNS LIMITED,12067.085
ARCHITECTURAL VISION SYSTEMS LTD,11899.59333
SLOANE CURTIS INTERIORS LTD,11892.355
CAXTON BUILDERS LTD,11856.86667
EARTHMOVER TYRE SOLUTIONS LIMITED,11792.74
CLIVE CHRISTIAN PERFUME LTD,11756.035
SYMEQS LIMITED,11327.97
PROSURV CONSULT LIMITED,11276.085
PENDLE ENGINEERING LTD,11251.08
P & R MORSON & COMPANY LTD,11205.18667
CHICKEN JOES LIMITED,11066.71
HEYSIDE PLASTICS LTD,11042.03
BUILDING ENVIRONMENTAL SOLUTIONS LTD,11015.52333
HATTONS MODEL RAILWAYS LTD,10880.045
COMPLETE VENTILATION SOLUTIONS LTD,10879.235
FRONT ROW RACING LIMITED,10685.14667
BSF SOLID SURFACES LIMITED,10510.925
MJ CATTERALL LIMITED,10500.73
RUTLAND TRADING CO LIMITED,10283.89
PPM INDUSTRIES UK LIMITED,10220.24
DORWINGEAR LIMITED,10200.96
FOCUS MRS LIMITED,10108.39
BS HANDLING SYSTEMS LTD,10000
HKR ARCHITECTURAL SERVICES LIMITED,9984.946667
CAXTON DISTRIBUTIONS,9918.76
MIISTA LIMITED,9825.26
BUILDSERVICES.CO.UK (SOUTH EAST) LIMITED,9697.29
FIRE-CORP SECURE SOLUTIONS LTD,9646.84
UNITE FLOORING LTD,9638.02
HENRY NUTTALL LIMITED,9491.7
NAVCAR LIMITED,9389.5
THE FRESH CHICKEN COMPANY LIMITED,9359.63
WARDEN CONSTRUCTION LIMITED,9215.93
COMFY SOFA LTD,9073.87
YMD BOON LIMITED,9072.76875
VISION MIDLANDS LIMITED,8987.67
CRYOGENESIS (UK) LIMITED,8876.34
SVM CONSULTING ENGINEERS LIMITED,8762.765
SHIELTEC LIMITED,8631.21
DIRECT TRADE WINDOWS LIMITED,8349.09
LINTEN GARDEN PRODUCTS LIMITED,8234.2675
REACT PROPERTY MAINTENANCE LTD,8227.97
GRIMSBY GRANULATION LIMITED,8177.923333
GREAT BRITISH DRUM COMPANY LTD,8140.688
ENVIRO CHILL LTD,7897.866667
SYMEQS LIMITED (PREV SHIELTEC LIMITED),7781.92
REVOPLAS RECYCLING SOLUTIONS LIMITED,7723.49
EDC2 LIMITED,7705.244286
MACFARLANE CONCRETE PUMPING LTD,7523.285
ADVANCE ACCOUNTANCY (AESTHETICS TECHNOLOGY) ENQUIRY DEFENCE 2021,7500
HAC PROJECTS LTD,7435.82
NORTHCOT BRICK LIMITED,7294.885
CTR (COLLECTIONS) LTD,7203.375
WATSON CONSTRUCTION LTD,7102.915
WHITES CARPENTRY LIMITED,7080.40625
WOODLEY EQUIPMENT COMPANY LIMITED,7073.485
QUEST JOINERY LTD,7026.45
? WILLIAM SMITH GROUP 1832,6996.19
ARCOFRAME LTD,6983.42
SANCO TECHNOLOGY LIMITED,6958.03
WJ STRUCTURES LTD,6603.695
CLIFFORD SPRINGS LIMITED,6398.086667
JAYVILLE ENGINEERING LIMITED,6384.8
HYDROTEC INDUSTRIAL SERVICES LTD,6349.096667
S BRANNAN & SONS LIMITED,6283.023333
COCCION CONSTRUCTION LIMITED,6253.9725
SUPERIOR SURFACES LTD,6246.363333
SECOND HOME STUDIOS LTD,6155
BEOBIA LTD,6119.956667
BOLT6 LIMITED,6103.33
MCUK FITOUTS LIMITED,6084.7
ISLAND LANDSCAPES,6054.79
ALTIN HOMES LIMITED,6052.172
